         142820 function calls (140735 primitive calls) in 0.087 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      477    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       10    0.000    0.000    0.001    0.000 _parser.py:963(parse)
    13649    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
    28/10    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
      286    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.001    0.001 textwrap.py:1(<module>)
      458    0.000    0.000    0.001    0.000 _inspect.py:97(getargspec)
     1201    0.001    0.000    0.001    0.000 typing.py:1286(__setattr__)
        1    0.000    0.000    0.001    0.001 textwrap.py:17(TextWrapper)
    34/10    0.000    0.000    0.001    0.000 _parser.py:512(_parse)
     7714    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2965(__new__)
      477    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
  981/967    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFBB3094D90}
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
       70    0.000    0.000    0.001    0.000 typing.py:1492(copy_with)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
     9124    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
       98    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
       90    0.000    0.000    0.001    0.000 typing.py:1727(__hash__)
       12    0.000    0.000    0.001    0.000 __init__.py:361(namedtuple)
      277    0.000    0.000    0.001    0.000 typing.py:184(_type_check)
     1831    0.000    0.000    0.001    0.000 typing.py:1026(_is_unpacked_typevartuple)
        1    0.000    0.000    0.001    0.001 warnings.py:1(<module>)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
      171    0.000    0.000    0.001    0.000 typing.py:1225(__init__)
       53    0.000    0.000    0.001    0.000 textwrap.py:416(dedent)
       34    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
      175    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
      477    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
       10    0.000    0.000    0.001    0.000 _compiler.py:590(_code)
        1    0.000    0.000    0.001    0.001 overrides.py:1(<module>)
        8    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
     1452    0.000    0.000    0.001    0.000 typing.py:1212(_is_dunder)
       70    0.000    0.000    0.001    0.000 typing.py:1401(_determine_new_args)
       24    0.000    0.000    0.001    0.000 inspect.py:3319(signature)
      102    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
        8    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      196    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
       24    0.000    0.000    0.001    0.000 inspect.py:3032(from_callable)
     5224    0.001    0.000    0.001    0.000 typing.py:1717(<genexpr>)
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
       24    0.000    0.000    0.001    0.000 inspect.py:2413(_signature_from_callable)
      458    0.000    0.000    0.000    0.000 _inspect.py:66(getargs)
        1    0.000    0.000    0.000    0.000 _arraysetops_impl.py:1(<module>)
     6934    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     4186    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.000    0.000 printoptions.py:1(<module>)
       14    0.000    0.000    0.000    0.000 typing.py:1977(__new__)
    57/10    0.000    0.000    0.000    0.000 _compiler.py:39(_compile)
        8    0.000    0.000    0.000    0.000 typing.py:2934(_make_nmtuple)
       27    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
       70    0.000    0.000    0.000    0.000 typing.py:1430(_make_substitution)
